gene_id,module,module_color,gene_name
ENSG00000101194,0,#cccccc,SLC17A9
ENSG00000133067,0,#cccccc,LGR6
ENSG00000134057,7,#f45deb,CCNB1
ENSG00000168679,0,#cccccc,SLC16A4
ENSG00000132965,6,#8197f4,ALOX5AP
ENSG00000073792,0,#cccccc,IGF2BP2
ENSG00000173894,7,#f45deb,CBX2
ENSG00000171124,0,#cccccc,FUT3
ENSG00000169607,7,#f45deb,CKAP2L
ENSG00000116661,0,#cccccc,FBXO2
ENSG00000184156,0,#cccccc,KCNQ3
ENSG00000204252,6,#8197f4,HLA-DOA
ENSG00000127129,0,#cccccc,EDN2
ENSG00000137727,0,#cccccc,ARHGAP20
ENSG00000230006,0,#cccccc,ANKRD36BP2
ENSG00000138722,7,#f45deb,MMRN1
ENSG00000203709,0,#cccccc,MIR29B2CHG
ENSG00000235098,0,#cccccc,ANKRD65
ENSG00000173210,7,#f45deb,ABLIM3
ENSG00000167767,0,#cccccc,KRT80
ENSG00000066468,7,#f45deb,FGFR2
ENSG00000103811,7,#f45deb,CTSH
ENSG00000140279,0,#cccccc,DUOX2
ENSG00000211972,0,#cccccc,IGHV3-66
ENSG00000228340,0,#cccccc,MIR646HG
ENSG00000142494,7,#f45deb,SLC47A1
ENSG00000085552,7,#f45deb,IGSF9
ENSG00000211968,0,#cccccc,IGHV1-58
ENSG00000169679,7,#f45deb,BUB1
ENSG00000173947,7,#f45deb,PIFO
ENSG00000281406,0,#cccccc,BLACAT1
ENSG00000213988,0,#cccccc,ZNF90
ENSG00000225698,2,#c69432,IGHV3-72
ENSG00000175544,0,#cccccc,CABP4
ENSG00000256151,0,#cccccc,ADGRD1-AS1
ENSG00000142583,1,#f77189,SLC2A5
ENSG00000137261,0,#cccccc,KIAA0319
ENSG00000162004,0,#cccccc,CCDC78
ENSG00000135643,0,#cccccc,KCNMB4
ENSG00000165810,7,#f45deb,BTNL9
ENSG00000117525,0,#cccccc,F3
ENSG00000162543,0,#cccccc,UBXN10
ENSG00000163145,7,#f45deb,C1QTNF7
ENSG00000151651,0,#cccccc,ADAM8
ENSG00000157456,7,#f45deb,CCNB2
ENSG00000169213,0,#cccccc,RAB3B
ENSG00000204949,7,#f45deb,FAM83A-AS1
ENSG00000171388,0,#cccccc,APLN
ENSG00000166851,7,#f45deb,PLK1
ENSG00000077943,7,#f45deb,ITGA8
ENSG00000112902,7,#f45deb,SEMA5A
ENSG00000075218,7,#f45deb,GTSE1
ENSG00000152128,0,#cccccc,TMEM163
ENSG00000158220,0,#cccccc,ESYT3
ENSG00000134013,0,#cccccc,LOXL2
ENSG00000166123,0,#cccccc,GPT2
ENSG00000080986,7,#f45deb,NDC80
ENSG00000144485,0,#cccccc,HES6
ENSG00000186193,7,#f45deb,SAPCD2
ENSG00000237289,0,#cccccc,CKMT1B
ENSG00000168481,7,#f45deb,LGI3
ENSG00000169715,0,#cccccc,MT1E
ENSG00000157613,0,#cccccc,CREB3L1
ENSG00000127564,7,#f45deb,PKMYT1
ENSG00000180229,0,#cccccc,HERC2P3
ENSG00000163485,0,#cccccc,ADORA1
ENSG00000103269,0,#cccccc,RHBDL1
ENSG00000188959,0,#cccccc,C9orf152
ENSG00000141527,0,#cccccc,CARD14
ENSG00000165309,7,#f45deb,ARMC3
ENSG00000149534,7,#f45deb,MS4A2
ENSG00000162849,0,#cccccc,KIF26B
ENSG00000163923,7,#f45deb,RPL39L
ENSG00000183856,7,#f45deb,IQGAP3
ENSG00000135063,7,#f45deb,FAM189A2
ENSG00000165949,0,#cccccc,IFI27
ENSG00000134775,0,#cccccc,FHOD3
ENSG00000185745,0,#cccccc,IFIT1
ENSG00000187260,0,#cccccc,WDR86
ENSG00000064195,0,#cccccc,DLX3
ENSG00000188783,7,#f45deb,PRELP
ENSG00000211632,1,#f77189,IGKV3D-11
ENSG00000111665,7,#f45deb,CDCA3
ENSG00000130635,0,#cccccc,COL5A1
ENSG00000101187,0,#cccccc,SLCO4A1
ENSG00000167513,7,#f45deb,CDT1
ENSG00000120457,7,#f45deb,KCNJ5
ENSG00000198734,0,#cccccc,F5
ENSG00000156413,0,#cccccc,FUT6
ENSG00000183914,0,#cccccc,DNAH2
ENSG00000137672,7,#f45deb,TRPC6
ENSG00000105290,0,#cccccc,APLP1
ENSG00000081052,7,#f45deb,COL4A4
ENSG00000175287,7,#f45deb,PHYHD1
ENSG00000189221,0,#cccccc,MAOA
ENSG00000185986,0,#cccccc,SDHAP3
ENSG00000180543,0,#cccccc,TSPYL5
ENSG00000189366,0,#cccccc,ALG1L
ENSG00000146555,0,#cccccc,SDK1
ENSG00000154451,6,#8197f4,GBP5
ENSG00000162366,0,#cccccc,PDZK1IP1
ENSG00000128591,0,#cccccc,FLNC
ENSG00000170500,0,#cccccc,LONRF2
ENSG00000166825,0,#cccccc,ANPEP
ENSG00000099958,1,#f77189,DERL3
ENSG00000225138,0,#cccccc,SLC9A3-AS1
ENSG00000196208,0,#cccccc,GREB1
ENSG00000163083,0,#cccccc,INHBB
ENSG00000137077,0,#cccccc,CCL21
ENSG00000132749,7,#f45deb,TESMIN
ENSG00000157214,0,#cccccc,STEAP2
ENSG00000177133,0,#cccccc,PRDM16-DT
ENSG00000007516,0,#cccccc,BAIAP3
ENSG00000167157,0,#cccccc,PRRX2
ENSG00000134569,0,#cccccc,LRP4
ENSG00000156970,7,#f45deb,BUB1B
ENSG00000204291,0,#cccccc,COL15A1
ENSG00000178568,7,#f45deb,ERBB4
ENSG00000167476,0,#cccccc,JSRP1
ENSG00000164237,0,#cccccc,CMBL
ENSG00000164283,0,#cccccc,ESM1
ENSG00000131435,0,#cccccc,PDLIM4
ENSG00000120738,7,#f45deb,EGR1
ENSG00000272636,0,#cccccc,DOC2B
ENSG00000134690,7,#f45deb,CDCA8
ENSG00000170801,0,#cccccc,HTRA3
ENSG00000138308,0,#cccccc,PLA2G12B
ENSG00000101447,7,#f45deb,FAM83D
ENSG00000187889,0,#cccccc,FYB2
ENSG00000168389,7,#f45deb,MFSD2A
ENSG00000188818,0,#cccccc,ZDHHC11
ENSG00000138356,0,#cccccc,AOX1
ENSG00000166126,0,#cccccc,AMN
ENSG00000120129,7,#f45deb,DUSP1
ENSG00000183098,0,#cccccc,GPC6
ENSG00000129195,7,#f45deb,PIMREG
ENSG00000178773,0,#cccccc,CPNE7
ENSG00000215252,4,#34af8a,GOLGA8B
ENSG00000128268,7,#f45deb,MGAT3
ENSG00000076382,7,#f45deb,SPAG5
ENSG00000166405,7,#f45deb,RIC3
ENSG00000229314,0,#cccccc,ORM1
ENSG00000109339,7,#f45deb,MAPK10
ENSG00000107242,7,#f45deb,PIP5K1B
ENSG00000101825,0,#cccccc,MXRA5
ENSG00000035499,7,#f45deb,DEPDC1B
ENSG00000092529,4,#34af8a,CAPN3
ENSG00000204616,0,#cccccc,TRIM31
ENSG00000272398,0,#cccccc,CD24
ENSG00000130675,0,#cccccc,MNX1
ENSG00000186891,0,#cccccc,TNFRSF18
ENSG00000169083,7,#f45deb,AR
ENSG00000253671,0,#cccccc,AC027117.1
ENSG00000122863,0,#cccccc,CHST3
ENSG00000155761,0,#cccccc,SPAG17
ENSG00000072195,0,#cccccc,SPEG
ENSG00000080493,0,#cccccc,SLC4A4
ENSG00000196353,0,#cccccc,CPNE4
ENSG00000187957,0,#cccccc,DNER
ENSG00000144868,0,#cccccc,TMEM108
ENSG00000177181,0,#cccccc,RIMKLA
ENSG00000176092,0,#cccccc,CRYBG2
ENSG00000145536,0,#cccccc,ADAMTS16
ENSG00000132170,0,#cccccc,PPARG
ENSG00000189431,0,#cccccc,RASSF10
ENSG00000144278,0,#cccccc,GALNT13
ENSG00000160957,7,#f45deb,RECQL4
ENSG00000142449,0,#cccccc,FBN3
ENSG00000176788,0,#cccccc,BASP1
ENSG00000268119,0,#cccccc,AC010615.2
ENSG00000067057,7,#f45deb,PFKP
ENSG00000179344,6,#8197f4,HLA-DQB1
ENSG00000180287,0,#cccccc,PLD5
ENSG00000154188,7,#f45deb,ANGPT1
ENSG00000085265,6,#8197f4,FCN1
ENSG00000126709,0,#cccccc,IFI6
ENSG00000172752,7,#f45deb,COL6A5
ENSG00000172031,0,#cccccc,EPHX4
ENSG00000101144,0,#cccccc,BMP7
ENSG00000174640,7,#f45deb,SLCO2A1
ENSG00000121207,0,#cccccc,LRAT
ENSG00000131016,0,#cccccc,AKAP12
ENSG00000273301,0,#cccccc,AC016717.2
ENSG00000162552,0,#cccccc,WNT4
ENSG00000016402,0,#cccccc,IL20RA
ENSG00000221986,0,#cccccc,MYBPHL
ENSG00000048540,0,#cccccc,LMO3
ENSG00000165996,0,#cccccc,HACD1
ENSG00000188158,0,#cccccc,NHS
ENSG00000111058,7,#f45deb,ACSS3
ENSG00000005001,0,#cccccc,PRSS22
ENSG00000197748,7,#f45deb,CFAP43
ENSG00000093009,7,#f45deb,CDC45
ENSG00000141449,0,#cccccc,GREB1L
ENSG00000169750,7,#f45deb,RAC3
ENSG00000121898,0,#cccccc,CPXM2
ENSG00000184613,6,#8197f4,NELL2
ENSG00000111879,0,#cccccc,FAM184A
ENSG00000276043,7,#f45deb,UHRF1
ENSG00000114923,0,#cccccc,SLC4A3
ENSG00000225431,0,#cccccc,LINC01671
ENSG00000164509,0,#cccccc,IL31RA
ENSG00000105852,0,#cccccc,PON3
ENSG00000138778,7,#f45deb,CENPE
ENSG00000119508,7,#f45deb,NR4A3
ENSG00000205795,7,#f45deb,CYS1
ENSG00000159387,0,#cccccc,IRX6
ENSG00000175832,0,#cccccc,ETV4
ENSG00000105976,0,#cccccc,MET
ENSG00000164626,0,#cccccc,KCNK5
ENSG00000006468,7,#f45deb,ETV1
ENSG00000168685,6,#8197f4,IL7R
ENSG00000146122,7,#f45deb,DAAM2
ENSG00000158467,0,#cccccc,AHCYL2
ENSG00000115919,0,#cccccc,KYNU
ENSG00000228232,7,#f45deb,GAPDHP1
ENSG00000183287,7,#f45deb,CCBE1
ENSG00000064205,7,#f45deb,CCN5
ENSG00000106772,0,#cccccc,PRUNE2
ENSG00000224389,0,#cccccc,C4B
ENSG00000003436,0,#cccccc,TFPI
ENSG00000183682,0,#cccccc,BMP8A
ENSG00000198185,0,#cccccc,ZNF334
