gene,AUC,sensitivity,specificity,direction,p_value
BIRC5,0.9691833590138675,0.8781431334622823,0.9491525423728814,Up in Tumor,3.194700926525478e-32
CCNB1,0.9852145690587811,0.9264990328820116,0.9830508474576272,Up in Tumor,2.412449671733856e-34
CCNB2,0.973543585876799,0.90715667311412,0.9661016949152542,Up in Tumor,8.595115337420103e-33
CDC20,0.9825263088876504,0.941972920696325,0.9830508474576272,Up in Tumor,5.536030139125609e-34
KIF2C,0.984853948791922,0.9226305609284333,0.9830508474576272,Up in Tumor,2.6975227707311554e-34
