gene_name,HR,HR_lower,HR_upper,p_value,stage_p,age_p,concordance
CCNB1,1.259382642309439,1.0599976465584278,1.4962718501308296,0.008727352085979943,2.3628980900163456e-08,0.16740074108518999,0.6884719187765069
KIF2C,1.173253187599043,1.0031037409712213,1.372263890550885,0.0456376555090149,6.0268353761455385e-09,0.15085929380918517,0.6855160005140727
CDC20,1.1455524098625283,0.9894927900370162,1.3262252509113825,0.06897246187178448,7.917446159875846e-09,0.1696812131198867,0.6856873580945037
BIRC5,1.1332055583422453,0.9852404503882749,1.3033923210843459,0.07982971924229268,7.1467459808124666e-09,0.21238331568720728,0.6827742792271773
CCNB2,1.1494536933967423,0.969671551394757,1.362568378295682,0.10847930536712815,1.3326030817735741e-08,0.19617181260868324,0.6827742792271773
