model,AUC,AUC_mean,AUC_std,accuracy,F1,precision,recall
Logistic Regression,0.9886240697636298,0.9885331092855365,0.013575786504733813,0.9670138888888888,0.9817833173537871,0.973384030418251,0.9903288201160542
Random Forest,0.9819689866570501,0.9827345995428519,0.02042517257401529,0.9722222222222222,0.9846449136276392,0.9771428571428571,0.9922630560928434
SVM (RBF),0.9792479428252958,0.9806043066965398,0.029273328223533065,0.9670138888888888,0.9818181818181818,0.9715909090909091,0.9922630560928434
MLP Neural Net,0.3718650624528735,0.23701286577500175,0.3633614914491153,0.8854166666666666,0.9384328358208955,0.9063063063063063,0.9729206963249516
XGBoost,0.9773464905091303,0.9840371602507526,0.018570023867901773,0.9756944444444444,0.9865125240847784,0.982725527831094,0.9903288201160542
