Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
GO_Biological_Process_2023,Regulation Of Cell Migration (GO:0030334),79/434,0.0003654905889431821,0.0379326679853757,0,0,1.5737205410681914,12.454849309917964,SEMA5A;ACVRL1;PTPRT;ROBO4;RIPOR1;FLT4;FAM107A;ADARB1;LDB2;FGF2;VSIR;CX3CL1;MYLK;CXCL16;CDH5;DACH1;GPER1;ITGAX;ENPP2;TNR;EMILIN2;PHACTR1;EDN1;DNAI3;MYOC;LIMCH1;SEMA6D;MITF;FGR;CLDN5;TMSB15A;IL1B;MMRN2;PECAM1;MYADM;CDH13;SGK1;ENG;HBEGF;MACF1;TNXB;SEMA3D;SEMA3B;CAMK2A;PDGFB;SEMA3G;TWIST2;NEDD9;NEXN;PPM1F;NKD1;PARD6B;WNT11;PODXL;ERBB4;PDPN;MGAT3;SLIT2;SCAI;SASH1;NTNG1;CCL24;ACE;F10;FZD4;NTRK3;CAV1;TBX5;SMAD7;IGSF10;DAB2;BMP2;CXCL12;KIF26A;CASS4;AMOTL1;RECK;FERMT2;FERMT3,Down
GO_Biological_Process_2023,Positive Regulation Of Vasculature Development (GO:1904018),26/104,0.0003658480668640298,0.0379326679853757,0,0,2.34409904454313,18.54954122108576,SEMA5A;RAMP2;HSPB6;GATA6;GATA2;ETS1;FGF2;AQP1;CDH5;RRAS;HYAL1;ITGAX;EMILIN2;CD34;SASH1;ANGPT4;PTGIS;ANXA3;TNFSF12;GAB1;EMP2;VEGFD;IL1A;IL1B;APLNR;TEK,Down
GO_Biological_Process_2023,Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179),20/72,0.0003930452234808729,0.0397076456542215,0,0,2.7022212584032963,21.18970006519297,ACVRL1;GDF10;JUN;TGFB2;NRROS;ZFYVE9;WFIKKN2;APOA1;SMAD9;FOS;LRRC32;SMAD6;TGFBR2;SMAD7;TGFBR3;CDH5;CLDN5;LPXN;FERMT2;ENG,Down
GO_Biological_Process_2023,Secondary Palate Development (GO:0062009),7/13,0.00041064001398969497,0.0404480413779849,0,0,8.175547542735043,63.75123235137946,TGFBR3;TGFB2;WNT11;WNT3A;WNT7A;LRRC32;TGFBR2,Down
GO_Biological_Process_2023,Striated Muscle Contraction (GO:0006941),17/57,0.0004259034450029459,0.0407503980344223,0,0,2.9844026548672566,23.16283803501867,RYR2;CCDC78;STAC;TNNC1;STAC3;ATP1A2;RCSD1;LMOD3;KLHL41;MYL3;TNNT3;CASQ2;TNNI2;NOS1;SCN3B;SCN4B;SCN2B,Down
GO_Biological_Process_2023,Muscle Contraction (GO:0006936),24/94,0.00043439510595069534,0.0407503980344223,0,0,2.410234541577825,18.65896581085413,TMOD1;RYR2;TMOD2;LMOD1;ADRA1D;LMOD3;MYOM2;KLHL41;MYLK;MYH1;P2RX6;MYH2;DES;SGCA;CASQ2;SCN7A;APBB2;MYH11;NMUR1;NOS1;APBB1;CACNA1S;UTRN;CRYAB,Down
GO_Biological_Process_2023,Regulation Of Muscle Contraction (GO:0006937),11/29,0.000459020032873274,0.0420590448725744,0,0,4.286360799001248,32.94675524589434,CHRM2;CNN1;CAV1;TNNC1;MYL3;TNNT3;PLCE1;NMUR2;ATP1A2;CACNA1S;MYL9,Down
GO_Biological_Process_2023,Regulation Of Endothelial Cell Apoptotic Process (GO:2000351),14/43,0.0005042920618207953,0.0432429990686126,0,0,3.3880384034579736,25.723190211015925,SEMA5A;RAMP2;ANGPT1;IL13;ECSCR;TNFAIP3;NDNF;GATA2;CDH5;RGCC;GPER1;CCL2;TEK;GAS6,Down
GO_Biological_Process_2023,Extracellular Matrix Assembly (GO:0085029),8/17,0.0005063740245573342,0.0432429990686126,0,0,6.23041638833222,47.2778635951534,MFAP4;RAMP2;TNXB;HAS1;MYH11;GAS6;FBLN5;GPM6B,Down
GO_Biological_Process_2023,Coronary Vasculature Development (GO:0060976),5/7,0.0005158428822905566,0.0432429990686126,0,0,17.50900720576461,132.5380777048682,MYOCD;APLNR;GATA6;GPC3;APLN,Down
GO_Biological_Process_2023,Lymphatic Endothelial Cell Differentiation (GO:0060836),5/7,0.0005158428822905566,0.0432429990686126,0,0,17.50900720576461,132.5380777048682,ACVRL1;BMPR2;SOX18;TIE1;PDPN,Down
