gene,coefficient,abs_coefficient
CCNB1,2.332564678496803,2.332564678496803
KIF2C,2.0252268489489786,2.0252268489489786
CDC20,1.531569380278451,1.531569380278451
CCNB2,0.5011144741940455,0.5011144741940455
BIRC5,-0.485357517911701,0.485357517911701
