gene_name,gene_id,logrank_p,logrank_stat,median_os_high,median_os_low,n_high,n_low,module,logrank_padj
BIRC5,ENSG00000089685,7.052473268456259e-05,15.796718110926037,1046.0,1632.0,222,221,7,0.0006347225941610633
CCNB1,ENSG00000134057,0.00016308692502265773,14.214752442039151,1073.0,1600.0,222,221,7,0.0007338911626019599
CCNB2,ENSG00000157456,0.003180679816448,8.700814005710315,1046.0,1528.0,222,221,7,0.009542039449344
CDC20,ENSG00000117399,0.011929430878367927,6.321327197667988,1171.0,1528.0,222,221,7,0.02278333483286499
KIF2C,ENSG00000142945,0.01265740824048055,6.216373959570949,1115.0,1501.0,222,221,7,0.02278333483286499
SCN7A,ENSG00000136546,0.1487242193893315,2.085287506129914,1499.0,1171.0,222,221,7,0.1945889510632286
SCN4B,ENSG00000177098,0.15134696193806668,2.0586222075183254,1379.0,1288.0,222,221,7,0.1945889510632286
IGLL5,ENSG00000254709,0.5973494963034969,0.2790120348885751,1499.0,1215.0,222,221,1,0.672018183341434
LAIR1,ENSG00000167613,0.8534674656581408,0.03411262093092196,1357.0,1235.0,222,221,6,0.8534674656581408
