Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,direction
KEGG_2021_Human,Osteoclast differentiation,33/127,2.7811389583107008e-05,0.0074287964951055,0,0,2.473507623395641,25.947255559272435,LILRA6;SPI1;NCF1;NCF2;PIK3R1;LILRA1;SIRPB1;LILRA5;SOCS3;FCGR3A;FCGR3B;AKT3;SIRPA;ACP5;JUNB;JUN;TGFB2;JUND;MITF;NFATC1;FOS;GAB2;LILRB3;OSCAR;TGFBR2;NFKBIA;MAPK10;IL1A;TYROBP;IL1B;BTK;FOSB;PPARG,Down
KEGG_2021_Human,Malaria,17/50,7.089654181805736e-05,0.0074287964951055,0,0,3.618908310782808,34.57609550781633,CSF3;TGFB2;GYPC;SDC2;HBB;HBA2;HBA1;ITGAL;SELE;SELP;IL6;IL1B;PECAM1;CCL2;CD36;ACKR1;TLR4,Down
KEGG_2021_Human,Vascular smooth muscle contraction,33/133,7.503834843540958e-05,0.0074287964951055,0,0,2.3242955465587043,22.07502313112557,RAMP2;CALCRL;RAMP3;NPR1;PLA2G1B;ADCY4;PLA2G3;ADRA1D;PLA2G5;ADCY8;ADRA1A;ACTG2;MYLK3;MYLK;KCNMB2;MYH11;CACNA1S;MYH10;PRKG1;GUCY1A2;PPP1R14A;EDN1;PLA2G4F;PTGIR;PRKCH;EDN3;PRKCE;PLA2G2A;ADCY9;GNAQ;AGTR1;PRKCQ;MYL9,Down
KEGG_2021_Human,Cell adhesion molecules,34/148,0.00029064305129379304,0.0215802465585641,0,0,2.099798909992681,17.09953325098714,SELPLG;SDC2;ICAM2;LRRC4;PTPRM;ITGAL;VSIR;SPN;CDH5;HLA-DOA;CD34;JAM2;LRRC4B;HLA-DPA1;JAM3;NTNG1;CADM3;HLA-DRB5;CADM1;NEGR1;PDCD1LG2;SELE;HLA-E;SELP;CLDN11;CLDN5;MAG;NFASC;ITGA8;PECAM1;HLA-DRA;CLDN18;ESAM;SIGLEC1,Down
