,Tumor_status,Stage,OS_event,OS_time,Age
ME1,0.31847578611984767,-0.15526307829648997,-0.08140724430022311,-0.04051599609318767,0.06441628177561835
ME2,0.26631881521906287,-0.17909918078563553,-0.12720078693689818,-0.055017975995028216,0.08400444819822865
ME3,0.33003435176887985,-0.1061878422490179,-0.14946016584580768,-0.020852027980613395,-0.08559667462854538
ME4,0.08769627490127949,-0.1580604211621546,-0.19734402680304589,-0.003888637997062405,-0.026312352667992363
ME5,-0.3130098476982014,-0.052521825600797975,-0.03607727827734217,-0.08495678515437206,0.0661826395305495
ME6,-0.36925255965317333,-0.14498967044597064,-0.09463332743113613,-0.027620879155954542,0.115147258785495
ME7,-0.705473347878881,-0.11473592777564223,-0.09389637109738513,0.06489450592746236,0.12750256219875997
