gene_name,gene_id,HR,HR_lower,HR_upper,coef,p_value,concordance
CCNB1,ENSG00000134057,1.3598024650903011,1.1913674401486183,1.5520507626387678,0.30733944294157,5.232609896362797e-06,0.6110783874843908
CCNB2,ENSG00000157456,1.2654456052280343,1.1183204099824586,1.4319264546160466,0.2354243172487786,0.00018898256535164714,0.599274320853851
BIRC5,ENSG00000089685,1.2289661566529788,1.1022026594904524,1.3703086280853576,0.20617329290040962,0.00020567356008596512,0.5876823033244587
CDC20,ENSG00000117399,1.2193863121846533,1.0939968833160372,1.3591473623181685,0.1983477093872894,0.00034010773831057395,0.5960935843366397
KIF2C,ENSG00000142945,1.2268183054821251,1.094726268539423,1.3748488530142844,0.204424074472139,0.00043633617657923073,0.595009777819664
