,B cells,CD8+ T cells,CD4+ T cells,Tregs,NK cells,Monocytes,Macrophages M1,Macrophages M2,Dendritic cells,Neutrophils,Mast cells,Eosinophils,T helper cells,Cytotoxic cells,Immune checkpoint
CDC20,-0.1509968104715714,0.20944427422606768,-0.2659631065797462,0.0685031038706513,0.2612683004943205,0.007011519936156995,0.05903613761329829,-0.12380099080047102,-0.27262087333170354,-0.16392992895887143,-0.462641607472193,-0.2349824021763648,-0.300448748162985,0.20640875613716225,0.18092620585601332
SCN4B,0.18313039059761094,-0.16779842782783716,0.3592484260086127,0.006890803159732473,-0.2032264636097417,0.15113077481111772,0.15164953911086632,0.3088700255074101,0.3634650352854989,0.3295498112961016,0.6325945945926728,0.3079547676112977,0.23706670527458826,-0.16477663573824292,-0.07202681676636054
BIRC5,-0.15379637812572367,0.21859537686439803,-0.23985997383036536,0.07835609481904175,0.2368502861653591,0.029601685862792312,0.0826051319205699,-0.0865116740244016,-0.24169521939880123,-0.11778553619918952,-0.4571281919348403,-0.21768648470427507,-0.328886149822497,0.19396182074175555,0.18342909108559918
KIF2C,-0.15730481655311712,0.18279117655131175,-0.25957218853046987,0.10296793945956362,0.2287307962916286,0.0024305403581681715,0.08997949316060838,-0.10844116355151023,-0.26547679431020726,-0.1675176795243355,-0.4607693185576169,-0.209115656440853,-0.27501502029813335,0.16974299349694166,0.18610108698930694
CCNB1,-0.17928048410108738,0.18513189937302904,-0.2748578016895529,0.047262769668862906,0.2436173606216056,-0.01653294704807728,0.010211514281645457,-0.11348507531500548,-0.26415906093209146,-0.1298094621147323,-0.4745833302556754,-0.23813703806609884,-0.35152827941920956,0.1738416526031904,0.14976636936642393
CCNB2,-0.18269123465506326,0.19499846358957146,-0.26192885312058445,0.07508940593878373,0.26131844587831465,0.0071300094646576575,0.05899776365632506,-0.09420997882251647,-0.27211426768165675,-0.11092408014696328,-0.4863677366152736,-0.2205286061846706,-0.3021985318878547,0.18048486934352131,0.1618324337238373
SCN7A,0.2832175382970567,-0.04988090711096865,0.4958552388625882,0.17572864136290872,-0.14553876089955875,0.2278864608006854,0.14952425907963043,0.38172495711200327,0.47905896769665635,0.26027724856898105,0.6259685369187861,0.3414356017913807,0.297952438277136,-0.0900220153171109,0.04158767990763676
IGLL5,0.7357739067991351,0.45913902911850674,0.4073252643150518,0.38017149401760836,0.3115515043331805,0.24008336004622827,0.1571842759930961,0.1596651260816028,0.2397252777772516,0.10629444932269631,0.12542887183154153,0.045256112803418166,0.1415861150868717,0.41603624212207346,0.38929677402016655
LAIR1,0.39879719381645157,0.5473369953131733,0.7380275657731631,0.6462563216441343,0.3268485500655907,0.9488292735640292,0.49423859007878423,0.8717462498492343,0.7423810655711371,0.49140178323936123,0.43021435945170033,0.5475099910530719,0.45284357786224544,0.5260215157464195,0.7448356729353114
