Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,direction
prerank,Estrogen Response Late,0.4539600017429455,1.3855236665735644,0.009019165727170236,0.04425678586816027,0.57,37/197,8.89%,TOP2A;CDC20;CDC6;KIF20A;STIL;MDK;GINS2;NMU;DNAJC12;TFF1;PTGES;SLC7A5;PLK4;PCP4;PLAC1;PKP3;TPBG;ST14;CXCL14;GAL;SORD;PPIF;LSR;AGR2;GJB3;DLG5;TFPI2;UGDH;IDH2;SLC1A4;MEST;HPRT1;IGSF1;GALE;CDH1;FKBP4;ASCL1,Activated
prerank,UV Response Up,0.390497235973317,1.1625663566177515,0.17592592592592593,0.3519905213270142,1.0,38/157,14.98%,PPAT;ONECUT1;CCNE1;EPCAM;CHRNA5;FEN1;RFC4;POLR2H;POLG2;GAL;CLCN2;LHX2;SHOX2;H2AX;PPIF;CNP;E2F5;SLC6A8;STIP1;TARS1;YKT6;PRPF3;CTSV;CASP3;FKBP4;NPTX2;RET;DGAT1;PARP2;BAK1;SIGMAR1;ALDOA;MMP14;TUBA4A;COL2A1;MARK2;C4BPB;ASNS,Activated
prerank,Epithelial Mesenchymal Transition,0.36280750319944316,1.1068013486878705,0.24944320712694878,0.4852934742982137,1.0,38/200,10.45%,CTHRC1;GREM1;COL11A1;SPP1;MMP1;ADAM12;COL1A1;THBS2;COL3A1;FAP;COL7A1;PRSS2;COL5A2;MMP3;TIMP1;CRLF1;COL5A1;IGFBP3;SPOCK1;COMP;P3H1;SERPINH1;PLOD2;SLC6A8;MCM7;TFPI2;PTHLH;MEST;COPA;LRRC15;CALU;LOXL2;BASP1;VCAN;NT5E;MXRA5;POSTN;PLOD1,Activated
prerank,PI3K/AKT/mTOR  Signaling,0.39229800909077034,1.1027808812665159,0.27764127764127766,0.46277589708869327,1.0,11/103,11.71%,PITX2;SLC2A1;CDK1;PDK1;GNGT1;HSP90B1;E2F1;TRAF2;CALR;TRIB3;CLTC,Activated
prerank,Oxidative Phosphorylation,0.36132307987704687,1.102594900791449,0.2394678492239468,0.43249289099526067,1.0,71/200,32.81%,LDHA;MTX2;GPI;TIMM17A;AIFM1;IDH2;MRPL15;NDUFS6;NDUFS2;MDH2;ATP1B1;LRPPRC;NDUFS8;RHOT2;MRPS12;TOMM70;UQCRH;CYC1;FH;VDAC1;SDHA;TIMM9;TIMM50;SUPV3L1;GOT2;OAT;TIMM10;MRPS30;MRPL35;HSPA9;NDUFV1;PDP1;ATP5MC1;MRPS15;LDHB;COX6C;IDH3G;IDH1;MTRF1;ATP5PD;NDUFV2;SDHC;PMPCA;ECHS1;HSD17B10;NDUFB4;COX6B1;IMMT;CYCS;DLAT;NDUFAB1;ATP5MF;VDAC3;COX6A1;OPA1;PRDX3;MRPL11;ATP5MC3;COX5A;COX5B;UQCRQ;SLC25A12;CS;OXA1L;COX10;ATP5F1C;TIMM13;PDHA1;NDUFS1;ECI1;ATP5MC2,Activated
prerank,KRAS Signaling Dn,0.35669757730292956,1.0718751241025002,0.3089064261555806,0.4893127962085308,1.0,32/178,14.63%,SPTBN2;YBX2;AKR1B10;GPR19;BRDT;LYPD3;TFF2;SHOX2;BARD1;HNF1A;SLC6A3;EGF;MSH5;CKM;KRT15;ENTPD7;HTR1D;KCNQ2;KLHDC8A;CALCB;SLC5A5;CCR8;CALML5;GDNF;CLSTN3;TNNI3;COL2A1;SLC38A3;GAMT;SMPX;SPRR3;KLK8,Activated
prerank,Hypoxia,0.34762113369383363,1.0526289666497635,0.3627232142857143,0.5157290214664064,1.0,27/193,6.65%,EFNA3;SLC2A1;KDELR3;ERO1A;INHA;CP;HOXB9;PDK1;GAPDH;PFKP;TPBG;AK4;SLC2A5;ENO1;LDHA;BCAN;HSPA5;PPFIA4;COL5A1;GPI;SLC37A4;IGFBP3;TPI1;CASP6;ANKZF1;KIF5A;ENO3,Activated
prerank,Xenobiotic Metabolism,0.34159669074098514,1.0323005761559936,0.41189931350114417,0.543349131121643,1.0,44/192,17.96%,PYCR1;XDH;ABCC3;PTGES;GAD1;PC;NQO1;SHMT2;BPHL;ABCC2;HES6;GART;SLC35B1;NFS1;AKR1C2;CASP6;UGDH;GSS;GCKR;HGFAC;GCLC;HPRT1;CCL25;AHCY;SMOX;CDA;ATP2A2;CFB;PTS;ANGPTL3;TDO2;MCCC2;MARCHF6;SPINT2;JUP;TKFC;CBR1;REG1A;PTGR1;ENTPD5;ACP1;AKR1C3;HNF4A;MTHFD1,Activated
prerank,Pperoxisome,0.3617862233042302,1.0236633408879574,0.4289245982694685,0.5390870541282116,1.0,23/103,21.33%,TOP2A;CRABP2;ALB;CRABP1;SLC35B2;ABCB9;PABPC1;IDH2;ABCB4;MSH2;IDE;ERCC3;CTPS1;CDK7;PEX11B;SMARCC1;SLC25A17;PEX13;NR1I2;CACNA1B;IDH1;HSD3B7;GNPAT,Activated
prerank,Angiogenesis,0.39484853832529276,0.9718023040531141,0.5175808720112518,0.6445592417061611,1.0,7/36,10.23%,SPP1;TNFRSF21;COL3A1;COL5A2;TIMP1;VCAN;POSTN,Activated
prerank,Pancreas Beta Cells,0.4098669044585911,0.9676055205025967,0.526241134751773,0.6249424509140148,1.0,13/29,24.41%,PCSK1;PDX1;HNF1A;SRPRB;SYT13;ISL1;SST;SRP9;INSM1;NKX6-1;PAK3;NEUROD1;DPP4,Activated
prerank,Estrogen Response Early,0.28635218451838246,0.8679570391325729,0.7729852440408627,0.8265833692373977,1.0,34/199,16.32%,SYT12;SLC2A1;TFF1;PTGES;SLC7A5;FHL2;LAD1;TPBG;TUBB2B;PPIF;GREB1;TSKU;CANT1;SLC1A4;DEPTOR;ISG20L2;KRT15;KRT8;FKBP4;KRT18;TFF3;UNC119;PMAIP1;KCNK5;RET;TFAP2C;RHOD;SLC9A3R1;FRK;OVOL2;KRT19;MYBL1;NADSYN1;ELOVL2,Activated
prerank,Protein Secretion,0.24686865000866262,0.6915085162677621,0.980319803198032,1.0,1.0,32/96,27.66%,ICA1;COG2;SEC24D;YKT6;BNIP3;KRT18;BET1;TOM1L1;ANP32E;VPS45;TMED2;COPB2;TPD52;CLTC;SCAMP3;ERGIC3;RER1;OCRL;TSPAN8;LMAN1;SEC31A;STX16;ARFGEF1;COPB1;ARCN1;ZW10;SCRN1;ARF1;RAB22A;SOD1;GOSR2;SEC22B,Activated
prerank,Notch Signaling,0.27219772489078875,0.6576192630272888,0.9430555555555555,0.9903554502369668,1.0,2/32,5.28%,KAT2A;DTX2,Activated
prerank,Wnt-beta Catenin Signaling,-0.29144110919161054,-0.8351318151353867,0.7677902621722846,0.8916666666666667,1.0,9/41,12.96%,NOTCH4;NUMB;NOTCH1;CCND2;NKD1;HEY2;PTCH1;HEY1;AXIN2,Suppressed
prerank,Reactive Oxygen Species Pathway,-0.2812639256442559,-0.8753530013892378,0.7580645161290323,0.8466666666666667,0.996996996996997,7/49,8.69%,CAT;GPX3;PDLIM1;JUNB;MBP;PRNP;MSRA,Suppressed
prerank,Interferon Alpha Response,-0.27593407532337066,-0.9151891149379676,0.6878306878306878,0.7613888888888889,0.993993993993994,31/97,20.82%,LAMP3;CCRL2;TMEM140;GBP4;CASP1;B2M;TXNIP;TRIM25;IFIT2;ELF1;CD47;OASL;IFIT3;CD74;IRF1;TRIM21;NCOA7;IL4R;TDRD7;IL15;UBA7;IRF2;SLC25A28;GMPR;CSF1;IFITM2;RSAD2;LPAR6;IL7;LAP3;HLA-C,Suppressed
prerank,Hedgehog Signaling,-0.3408863193038073,-0.9768622294959609,0.48,0.5753623188405796,0.974974974974975,8/36,12.78%,DPYSL2;RTN1;CNTFR;ETS2;HEY2;VLDLR;PTCH1;HEY1,Suppressed
prerank,Apical Surface,-0.3465298228049973,-1.0122140057655737,0.4230769230769231,0.47848484848484846,0.944944944944945,11/43,13.23%,SCUBE1;MDGA1;AKAP7;SRPX;ADIPOR2;NTNG1;TMEM8B;CD160;MAL;CX3CL1;PCSK9,Suppressed
prerank,p53 Pathway,-0.2808038883782459,-1.0260918034588336,0.3620689655172414,0.4592063492063492,0.934934934934935,31/200,8.65%,PPP1R15A;SESN1;HBEGF;PPM1D;KLF4;STOM;CDH13;CD81;ATF3;NOTCH1;BMP2;ZBTB16;CCND2;FOXO3;FOS;JUN;BTG2;RXRA;CDKN2B;PLK3;TSC22D1;CDKN1A;CASP1;NUPR1;AK1;XPC;TXNIP;MXD4;DRAM1;RGS16;PTPN14,Suppressed
prerank,Allograft Rejection,-0.3008056635229033,-1.1158193785630188,0.13761467889908258,0.2528333333333333,0.7537537537537538,62/196,16.74%,FGR;HLA-E;IL6;CFP;APBB1;SPI1;ETS1;IFNGR1;LY86;CCL2;CCND2;GPR65;ITGAL;CTSS;JAK2;PTPN6;B2M;PRF1;IRF8;IL13;DYRK3;SRGN;PF4;IL16;CD4;HLA-DRA;CRTAM;KLRD1;NLRP3;CCR1;HLA-DOA;CD86;WAS;KRT1;IL1B;ICAM1;PTPRC;CD47;NCR1;TGFB2;IL18RAP;IGSF6;IL12RB1;CCND3;CD74;LCP2;PRKCB;NCF4;HLA-DQA1;FLNA;CCL4;SOCS5;TGFB1;TLR3;IL4R;CD247;ITGB2;HCLS1;C2;IL15;HLA-DMB;HLA-DMA,Suppressed
prerank,Fatty Acid Metabolism,-0.3304492877071866,-1.1915543354918476,0.07575757575757576,0.14473684210526316,0.5345345345345346,20/151,9.45%,SERINC1;AOC3;GPD1;INMT;CA4;CD36;ACADL;HSD17B4;LTC4S;DHCR24;HSDL2;ACSL1;GABARAPL1;PTPRG;ACSL4;HMGCS1;IDI1;ADIPOR2;CA2;ACAA2,Suppressed
prerank,Androgen Response,-0.3803392274581954,-1.2680359932760636,0.050761421319796954,0.08814814814814814,0.36436436436436437,20/99,10.27%,PTPN21;ADAMTS1;PIAS1;LIFR;SRF;SELENOP;INSIG1;SGK1;HMGCR;ZMIZ1;DHCR24;TSC22D1;HMGCS1;NCOA4;IDI1;B2M;PTK2B;DBI;GPD1L;SCD,Suppressed
prerank,Bile Acid Metabolism,-0.38153307710449136,-1.2946641439465714,0.03488372093023256,0.07686274509803921,0.3183183183183183,17/106,9.39%,CAT;ABCA8;HSD17B4;CYP27A1;ABCA9;ABCA3;HSD17B6;DHCR24;AQP9;RXRA;ABCA6;ACSL1;RXRG;IDI1;SLCO1A2;ABCA1;NR3C2,Suppressed
prerank,Coagulation,-0.3774792236062297,-1.3154004030643438,0.006535947712418301,0.06812499999999999,0.2702702702702703,38/132,12.67%,PECAM1;F8;THBD;VWF;P2RY1;OLR1;TIMP3;CSRP1;A2M;MAFF;CFD;SERPING1;GP9;PDGFB;PROS1;C1QA;F11;F10;CTSO;LTA4H;LRP1;APOC1;LEFTY2;CPB2;C8B;PF4;PEF1;CPQ;KLF7;FYN;ISCU;GSN;CD9;APOA1;PLEK;RAPGEF3;RGN;THBS1,Suppressed
prerank,Apoptosis,-0.3732193447835472,-1.3513787795150627,0.02702702702702703,0.05444444444444445,0.21621621621621623,42/160,12.64%,CAV1;FEZ1;TGFBR3;ADD1;TIMP3;GPX3;BCL2L2;GADD45B;EMP1;IL6;ETF1;SMAD7;SPTAN1;NEDD9;DCN;IFNGR1;EGR3;ATF3;BMP2;CCND2;JUN;BTG2;CFLAR;CD44;CDKN1A;CASP1;MCL1;PRF1;TXNIP;SATB1;CD69;RARA;IL1B;HMOX1;PEA15;CYLD;GSN;PPP2R5B;TGFB2;TIMP2;ROCK1;IL1A,Suppressed
