,Tumor_status,Stage,OS_event,OS_time,Age
ME1,4.815229048128402e-15,0.0010854140809222871,0.050846649555684784,0.36692413430735377,0.14671525582996173
ME2,8.279392841618583e-11,0.00015891395381750992,0.002223589510013532,0.2203418878114363,0.058236179780789474
ME3,4.2023262226449134e-16,0.025921909482057956,0.0003188431658607083,0.6424950213638896,0.05361373115795186
ME4,0.035361539527941806,0.0008778347786684684,1.81515697849578e-06,0.931020651954508,0.5536652536049558
ME5,1.47149950651712e-14,0.2716232564117298,0.38744774516913777,0.05815199530058769,0.13593194287580346
ME6,4.782219324073122e-20,0.0022975512865527374,0.023124862190054447,0.5385853991292342,0.009319464046521665
ME7,7.100909705472103e-88,0.016047589063069214,0.024221446267677398,0.1481588101654561,0.003960576536991504
