,B cells,CD8+ T cells,CD4+ T cells,Tregs,NK cells,Monocytes,Macrophages M1,Macrophages M2,Dendritic cells,Neutrophils,Mast cells,Eosinophils,T helper cells,Cytotoxic cells,Immune checkpoint
TCGA-97-A4M3-01A,-0.5879831978899194,-1.3481130099859868,-0.8411644472463429,-0.9947565694537417,-0.7832652081482733,-1.18595740329381,-0.2916318436545154,-0.8020100092246016,-0.6544974941500677,-0.6830496862331324,-0.6520503036284571,0.03194522455121618,0.16820965917501,-1.2541830035052581,-1.180818248177855
TCGA-49-AAQV-01A,1.0575590148239267,-0.4024285860585282,0.07984717763233787,0.25290182717386406,-0.43757406864585696,-0.4358525440873886,-0.13573165846172985,-0.6697188761733052,0.22928744409150573,0.08804457673638459,0.4296672320818431,-0.2865484248772924,0.2645980510641743,-0.43113050401887343,0.31391857225919195
TCGA-50-6595-01A,-0.691848515796498,0.45876946410187086,0.01101783091206665,-0.1308727470697154,0.46985229255169414,0.4558627504912171,0.07506478710921749,0.34340028038485304,-0.2235130389644878,-0.2799865595170442,-0.8060790554286301,-0.4871384647466794,-0.8702030303739842,0.6145439714462573,1.1380144101903562
TCGA-49-4486-01A,-0.8728201933967791,-1.174406853740352,-1.1043560410253392,-1.1894684267857196,-0.7373424404353445,-2.1540223960000557,-0.9010469650919646,-1.4227795272936405,-1.6380943412676736,-1.1646157216802133,-1.4034276669040822,-0.6939555369865598,-0.7914578300044998,-1.1065097529353887,-1.5515201071283427
TCGA-44-6148-01A,0.3771029721019866,-0.40878889951320463,0.015306804065430604,-0.586701161895708,-0.4241698187317545,0.2993833040531562,-0.27127060004220555,-0.18098689271700066,0.0763065619382824,0.41718655674074107,2.6166891800801713,1.09347900985841,0.007128649043895319,-0.8763958788137811,-0.35125736453364936
TCGA-69-7761-01A,0.9958735500169041,0.9182938161559513,0.713565689927694,1.1418296803338943,0.38183557352501885,0.3072274702656623,0.49000673614965545,-0.02398984784070795,0.3482169519346686,0.43788651848865534,0.24123994317431507,-0.32462970902257837,0.1562330578602513,0.6822582450714197,0.8553538121622213
TCGA-86-8281-01A,0.34544597301574737,-0.8745721894570065,-0.5029268441472389,-0.5628637777079932,-0.6825068167582684,-1.2155043195870825,-0.07828510600500585,-0.6713170937199688,-0.35345203803730557,-0.8719183251430793,-0.28888104545617604,0.10594006357267649,-0.1267789827358113,-0.7173889176146405,-1.015119267859704
TCGA-73-4666-01A,-0.8480520168908479,1.8670745458007927,0.38400345303121736,1.1363522216446975,2.04391112232155,0.9795783820249171,-0.09909113373716018,0.6156080056296903,0.09467149607497559,-0.4185536785129628,-0.3142646667744437,-0.14860228580499918,0.6694834264029623,1.7779809552420136,1.6363020170278797
TCGA-62-8399-01A,-0.5005979232400317,-0.32110556989076117,-0.49990819198205505,-0.378569226730749,-0.33942734578751754,-0.3540252589331024,-0.4617770611200915,0.055695885812380955,-0.45703209492071306,0.4830440010609478,0.48260370392557705,0.140209084165252,-0.734361562400923,-0.15478963210269778,-0.6120432864140146
TCGA-49-AARN-01A,1.0627456340387154,-0.39972589503921263,-0.6018537997075256,-0.2068223482088131,-0.4559680754230759,-0.7741488696168105,0.03655453149469368,-0.6765948714246331,0.17432025804471277,-0.7957317331400352,-0.3421072435333549,0.14598708497286703,0.027125016665854696,-0.46872803999401597,-0.2810223535856292
