gene_name,degree,betweenness,closeness,pagerank,degree_rank,betweenness_rank,closeness_rank,pagerank_rank,avg_rank,gene_id,module,MM,GS,log2FoldChange,padj,hub_score
CCNB1,3,0.10714285714285714,0.4,0.17469260087327249,1.5,1.5,1.5,1.0,1.375,ENSG00000134057,7,0.8728299202868028,0.5716139748113275,2.974922577807627,1.5873643569076542e-87,0.6356437736230403
BIRC5,3,0.10714285714285714,0.4,0.14072331180230008,1.5,1.5,1.5,2.0,1.625,ENSG00000089685,7,0.8735720773048212,0.5638122414264102,3.686007805203969,1.4332832791576545e-95,0.6381828394695774
CCNB2,2,0.0,0.3333333333333333,0.11649613711063045,3.0,6.0,3.0,3.0,3.75,ENSG00000157456,7,0.8682141140435172,0.5568643814951989,3.059036356071542,1.694684980767742e-83,0.6252120055618092
CDC20,1,0.0,0.25,0.0702899016959736,6.5,6.0,4.5,8.0,6.25,ENSG00000117399,7,0.8790034480538131,0.5869090254607927,3.789753319840692,6.779345385321286e-105,0.6558108642322779
SCN7A,1,0.0,0.125,0.1111111111111111,6.5,6.0,7.5,5.5,6.375,ENSG00000136546,7,0.8681292058764868,0.5172119295163401,-2.4646403602277345,2.1971909419383275e-35,0.5772418756238334
SCN4B,1,0.0,0.125,0.1111111111111111,6.5,6.0,7.5,5.5,6.375,ENSG00000177098,7,0.905430914599354,0.6215734188144122,-2.820045051828553,2.7661790627679347e-59,0.6498404798389594
IGLL5,1,0.0,0.125,0.1111111111111111,6.5,6.0,7.5,5.5,6.375,ENSG00000254709,1,0.9306916097915094,0.3015077120161138,2.46018390387079,4.673641790361378e-28,0.5110999584410605
LAIR1,1,0.0,0.125,0.1111111111111111,6.5,6.0,7.5,5.5,6.375,ENSG00000167613,6,0.9213471970570636,0.3287834139082064,-1.067223313028768,5.632151001716204e-15,0.5095517948594318
KIF2C,1,0.0,0.25,0.053353604073378774,6.5,6.0,4.5,9.0,6.5,ENSG00000142945,7,0.8622725960543917,0.5629364549632531,3.580884085588679,1.1816834411513311e-100,0.6367019529738361
